rank,player_id,player,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area,image_url
57,246,Alexandre Pierre,0,0,0,https://digitalhub.fifa.com/transform/68889bed-7acd-4e67-a3bd-a18a300e70a0/PIERRE-Alexandre_466835?&io=transform:fill
57,517,Alban Lafont,0,0,0,https://digitalhub.fifa.com/transform/4387ca2a-2c1e-4bee-baad-95e9485a4ba0/LAFONT-Alban_403090?&io=transform:fill
57,272,Munir El Kajoui,0,0,0,https://digitalhub.fifa.com/transform/20f762ed-3248-4b2d-8a4c-5f1e3891291f/EL-KAJOUI-Munir_395755?&io=transform:fill
57,676,Mohamed Alaa,0,0,0,https://digitalhub.fifa.com/transform/6a209a18-784b-401d-af68-4c768a814a36/MOHAMED-ALAA_512079?&io=transform:fill
57,1156,Ivor Pandur,0,0,0,https://digitalhub.fifa.com/transform/5a32b76f-ee60-4eb1-a2e0-b12bc86e41e0/PANDUR-Ivor_514526?&io=transform:fill
57,1167,Dominik Kotarski,0,0,0,https://digitalhub.fifa.com/transform/4fb248c2-8d15-4415-ab5f-19bf997447ae/KOTARSKI-Dominik_448179?&io=transform:fill
57,1104,Jose Sa,0,0,0,https://digitalhub.fifa.com/transform/167fd8ff-0a3f-4c15-adc8-859e9d81caa3/JOSE-SA_368689?&io=transform:fill
57,1114,Rui Silva,0,0,0,https://digitalhub.fifa.com/transform/11360803-25b9-4af9-b4a1-5916e0cd03cb/RUI-SILVA_448092?&io=transform:fill
57,569,Mark Flekken,0,0,0,https://digitalhub.fifa.com/transform/c3d85e26-25ec-46df-957c-9e5feee3faf3/FLEKKEN-Mark_448151?&io=transform:fill
57,307,Craig Gordon,0,0,0,https://digitalhub.fifa.com/transform/6bb645f8-c45e-4630-baf7-b7ddcd905a26/GORDON-Craig_215553?&io=transform:fill
57,480,Oliver Baumann,0,0,0,https://digitalhub.fifa.com/transform/9da65f41-ea53-4209-b2f6-c59e69dbc193/BAUMANN-Oliver_306538?&io=transform:fill
57,1000,Florian Wiegele,0,0,0,https://digitalhub.fifa.com/transform/7feedee9-3390-40e2-a9aa-8867abd8b89e/WIEGELE-Florian_520034?&io=transform:fill
57,833,Brice Samba,0,0,0,https://digitalhub.fifa.com/transform/99fa69d0-8c6e-4c11-a78c-98a70aa322f8/SAMBA-Brice_483471?&io=transform:fill
57,1001,Patrick Pentz,0,0,0,https://digitalhub.fifa.com/transform/fee95866-9f5e-4663-b49f-3db6a86f0e80/PENTZ-Patrick_441065?&io=transform:fill
57,637,Mike Penders,0,0,0,https://digitalhub.fifa.com/transform/88da8ae8-d4af-47b1-8f4c-e3ac46fbc226/PENDERS-Mike_499803?&io=transform:fill
57,855,Robin Risser,0,0,0,https://digitalhub.fifa.com/transform/834e2e38-78ec-4e02-98a8-dbc085a9637c/RISSER-Robin_464127?&io=transform:fill
57,1193,James Trafford,0,0,0,https://digitalhub.fifa.com/transform/f923135f-5d11-46cb-90a3-517f74cb4c76/TRAFFORD-James_485080?&io=transform:fill
57,559,Robin Roefs,0,0,0,https://digitalhub.fifa.com/transform/557e5592-2bf9-4d43-8d51-ee7e2881cb65/ROEFS-Robin_506028?&io=transform:fill
57,1183,Dean Henderson,0,0,0,https://digitalhub.fifa.com/transform/acb3f8de-1176-40ef-99c2-e671120fbde0/HENDERSON-Dean_403046?&io=transform:fill
57,489,Alexander Nuebel,0,0,0,https://digitalhub.fifa.com/transform/9d30bb13-c082-4759-90e7-e0bde4305d1f/NUEBEL-Alexander_429639?&io=transform:fill
57,896,Sander Tangvik,0,0,0,https://digitalhub.fifa.com/transform/c7cb7af6-fa0d-4795-bdba-c53bed58e3fa/TANGVIK-Sander_514479?&io=transform:fill
57,116,Mladen Jurkas,0,0,0,https://digitalhub.fifa.com/transform/d568a177-8466-4ef0-89d6-990d70cac911/JURKAS-Mladen_522842?&io=transform:fill
57,126,Martin Zlomislic,0,0,0,https://digitalhub.fifa.com/transform/c2bf5ce5-0160-4561-a0e0-4508621e1820/ZLOMISLIC-Martin_491228?&io=transform:fill
57,441,Tyrick Bodak,0,0,0,https://digitalhub.fifa.com/transform/c806d05b-ee7a-482f-beb5-b9a6b5871a11/BODAK-Tyrick_466370?&io=transform:fill
57,442,Trevor Doornbusch,0,0,0,https://digitalhub.fifa.com/transform/f6d2d4d6-a63d-4278-a520-5edb0dc24e69/DOORNBUSCH-Trevor_466382?&io=transform:fill
57,415,Chris Brady,0,0,0,https://digitalhub.fifa.com/transform/843ccc00-8c38-4a4e-91ba-a25694677cf0/BRADY-Chris_464546?&io=transform:fill
57,454,Moises Ramirez,0,0,0,https://digitalhub.fifa.com/transform/3a641146-b759-48d0-983f-b85bb1232cc4/RAMIREZ-Moises_419002?&io=transform:fill
57,818,Santiago Mele,0,0,0,https://digitalhub.fifa.com/transform/39573fa9-f716-4703-b772-cf1892d1b748/MELE-Santiago_402897?&io=transform:fill
57,220,Weverton,0,0,0,https://digitalhub.fifa.com/transform/c66a5712-81fa-4527-9e5a-8221f11b3274/WEVERTON_396315?&io=transform:fill
57,339,Gatito Fernandez,0,0,0,https://digitalhub.fifa.com/transform/d606fc1a-1644-428f-ada8-69c93198e5b3/FERNANDEZ-Gatito_318647?&io=transform:fill
57,39,Guillermo Ochoa,0,3,3,https://digitalhub.fifa.com/transform/fedeac9f-968d-4d4c-b08a-5b2bf157c396/OCHOA-Guillermo_215285?&io=transform:fill
57,807,Sergio Rochet,0,7,5,https://digitalhub.fifa.com/transform/b5a98e25-83d4-441e-9c25-0eb4581277dc/ROCHET-Sergio_368664?&io=transform:fill
57,231,Ederson,0,0,0,https://digitalhub.fifa.com/transform/2a1d5731-391b-4644-a926-1bc899b86c81/EDERSON_395427?&io=transform:fill
57,963,Juan Musso,0,0,0,https://digitalhub.fifa.com/transform/c4a2b6b7-378f-422d-b2d1-42a04e5b1dfb/MUSSO-Juan_430624?&io=transform:fill
57,1223,Luis Mejia,0,0,0,https://digitalhub.fifa.com/transform/2adff111-751a-46e3-b3c3-e3e37c8416cd/MEJIA-Luis_267702?&io=transform:fill
57,1064,Alvaro Montero,0,0,0,https://digitalhub.fifa.com/transform/b7af4c7c-edc7-483d-a804-068ea864840e/MONTERO-Alvaro_385998?&io=transform:fill
57,464,Gonzalo Valle,0,0,0,https://digitalhub.fifa.com/transform/d67ebe06-be17-4735-a8a7-9659eb37cf37/VALLE-Gonzalo_448295?&io=transform:fill
57,974,Geronimo Rulli,0,0,0,https://digitalhub.fifa.com/transform/db91883b-99ec-4aa2-bf1a-cc7912040c7b/RULLI-Geronimo_394824?&io=transform:fill
57,391,Matt Turner,0,21,17,https://digitalhub.fifa.com/transform/01fb042f-5de5-41df-8104-7445672fdca5/TURNER-Matt_448217?&io=transform:fill
57,360,Gaston Olveira,0,0,0,https://digitalhub.fifa.com/transform/732355e7-ab77-473e-b0eb-25ac3fcdaac2/OLVEIRA-Gaston_447991?&io=transform:fill
57,1234,Cesar Samudio,0,0,0,https://digitalhub.fifa.com/transform/7ad848a3-35dc-465c-b10b-e3ef9dcc7813/SAMUDIO-Cesar_441402?&io=transform:fill
57,1041,David Ospina,0,0,0,https://digitalhub.fifa.com/transform/bb1dfed7-fde5-4558-8bf0-fe299883d6fa/OSPINA-David_228686?&io=transform:fill
57,38,Carlos Acevedo,0,0,0,https://digitalhub.fifa.com/transform/b84beeec-be0c-493f-85fd-362bf0ead5c6/ACEVEDO-Carlos_441260?&io=transform:fill
57,194,Yvon Mvogo,0,0,0,https://digitalhub.fifa.com/transform/66a48e5b-90b7-48fa-94b6-f91d76c28962/MVOGO-Yvon_402022?&io=transform:fill
57,16,Jindrich Stanek,0,0,0,https://digitalhub.fifa.com/transform/9351d9a7-4be7-4c59-8e0e-3f5fbca8ac7d/STANEK-Jindrich_441162?&io=transform:fill
57,324,Paul Izzo,0,0,0,https://digitalhub.fifa.com/transform/b64e66f2-6c65-4a90-8f28-6fc699fcf5ce/IZZO-Paul_331135?&io=transform:fill
